Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Model,Threshold Value,Baseline Trade Count,Delta Trade Count
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,No Filter,,gbm,,63,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,No Filter,,mlp,,118,0
146,0.20808795477661257,57.534246575342465,0.13230680127348876,1.718820881960291,168.77064220183485,218,-12.090197794004798,,No Filter,,rf,,146,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.2,gbm,0.0,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.3,gbm,0.0,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.4,gbm,0.0,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.5,gbm,0.0,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties3,0.2,gbm,0.0,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties3,0.3,gbm,0.0,63,0
45,0.26199204754622823,60.0,0.13382378015379445,0.9651872444829476,52.01834862385321,218,-6.710680538107283,,C_tau_ties3,0.4,gbm,0.10256410256410256,63,-18
41,0.3467192288856805,60.97560975609756,0.17801428884275444,1.2255155200912067,47.39449541284404,218,-6.710680538107283,,C_tau_ties3,0.5,gbm,0.15384615384615383,63,-22
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties5,0.2,gbm,0.0,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties5,0.3,gbm,0.0,63,0
41,0.44929838063809513,65.85365853658537,0.2254440526123569,1.55203937383225,47.39449541284404,218,-5.791850935015752,,C_tau_ties5,0.4,gbm,0.06666666666666665,63,-22
38,0.24515916195603518,65.78947368421053,0.19249628170906471,1.2758104847725358,43.92660550458715,218,-5.791850935015752,,C_tau_ties5,0.5,gbm,0.1333333333333333,63,-25
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties10,0.2,gbm,0.0,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties10,0.3,gbm,0.0,63,0
38,0.19021339061374884,63.1578947368421,0.15047301740958188,0.9972922675807963,43.92660550458715,218,-6.375397025120844,,C_tau_ties10,0.4,gbm,0.010526315789473686,63,-25
31,0.23086389532096233,67.74193548387096,0.17690642339679077,1.0590012500452126,35.8348623853211,218,-5.791850935015752,,C_tau_ties10,0.5,gbm,0.06315789473684212,63,-32
50,0.31024332192289705,60.0,0.1647061835068194,1.2521804812388178,57.798165137614674,218,-6.375397025120844,,C_RBO_full,0.2,gbm,0.3427449194263475,63,-13
44,0.1729785707014996,63.63636363636363,0.1321208801074372,0.9422579706189899,50.862385321100916,218,-5.791850935015752,,C_RBO_full,0.3,gbm,0.38058151186716205,63,-19
38,0.23136789724030826,65.78947368421053,0.18280137718901596,1.2115554211124444,43.92660550458715,218,-5.791850935015752,,C_RBO_full,0.4,gbm,0.41924589958476005,63,-25
33,0.41732974896779046,72.72727272727273,0.36185393309338726,2.2349215902056647,38.146788990825684,218,-2.9556386989712635,,C_RBO_full,0.5,gbm,0.44471120298430694,63,-30
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_Mallows_full,0.2,gbm,0.6065306597126334,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_Mallows_full,0.3,gbm,0.6065306597126334,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_Mallows_full,0.4,gbm,0.6065306597126334,63,0
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_Mallows_full,0.5,gbm,0.6065306597126334,63,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_full,0.2,mlp,0.0,118,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_full,0.3,mlp,0.0,118,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_full,0.4,mlp,0.0,118,0
56,0.17896903477555728,53.57142857142857,0.09806204617245849,0.7889818054150279,64.73394495412843,218,-5.271873104158242,,C_tau_full,0.5,mlp,0.009523809523809525,118,-62
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_ties3,0.2,mlp,0.0,118,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_ties3,0.3,mlp,0.0,118,0
75,0.19264325181400466,58.666666666666664,0.11206535560409799,1.0434557313885031,86.69724770642202,218,-8.936547756868052,,C_tau_ties3,0.4,mlp,0.10256410256410256,118,-43
62,0.022214495630280513,58.06451612903226,0.016559203538375065,0.14018686143267517,71.6697247706422,218,-12.382044026864758,,C_tau_ties3,0.5,mlp,0.15384615384615383,118,-56
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_ties5,0.2,mlp,0.0,118,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_ties5,0.3,mlp,0.0,118,0
64,0.09846673475641249,60.9375,0.07780178970421148,0.6691933212555604,73.98165137614679,218,-12.959801088574885,,C_tau_ties5,0.4,mlp,0.06666666666666665,118,-54
56,0.11571492653268875,60.71428571428571,0.09192503303323765,0.7396049884360842,64.73394495412843,218,-9.81600024185374,,C_tau_ties5,0.5,mlp,0.1,118,-62
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_ties10,0.2,mlp,0.0,118,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_tau_ties10,0.3,mlp,0.0,118,0
67,0.10052699977796088,59.70149253731343,0.0751550114313476,0.6614048422579215,77.44954128440367,218,-11.514665947599667,,C_tau_ties10,0.4,mlp,0.04210526315789474,118,-51
52,0.07363177209773239,61.53846153846154,0.05581142873250894,0.4327099041105886,60.11009174311926,218,-9.71472231730095,,C_tau_ties10,0.5,mlp,0.08421052631578949,118,-66
92,0.10205919293629181,60.86956521739131,0.08077198999109858,0.8329649361194029,106.34862385321101,218,-14.375141460801455,,C_RBO_full,0.2,mlp,0.3575137291873094,118,-26
78,0.07785865024936164,61.53846153846154,0.05861504139142203,0.5565810310029584,90.1651376146789,218,-12.628922611479076,,C_RBO_full,0.3,mlp,0.39435552975664734,118,-40
66,0.07712075025281463,60.60606060606061,0.0592598322259221,0.5176120867102955,76.29357798165137,218,-10.282038976903518,,C_RBO_full,0.4,mlp,0.4279882545854386,118,-52
51,0.012157600840522873,58.82352941176471,0.009350043141850683,0.07179111961158265,58.95412844036697,218,-11.99363875827002,,C_RBO_full,0.5,mlp,0.4579407423589591,118,-67
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_Mallows_full,0.2,mlp,0.6065306597126334,118,0
118,0.20829579625327907,60.16949152542372,0.13531019312348638,1.5803145589290981,136.40366972477062,218,-8.770613217349865,,C_Mallows_full,0.3,mlp,0.6065306597126334,118,0
